Post Title,Sq ft,Bedroom,Bathroom,Balcony,Parking,Lift,Rent Floor,Total Number of Floor,Price,Service Charge,Build Year,Area,Extra Aminities, Generator,Property Type,Interior,Building Regiration Type,Road In Front of House,Gas,Servant Room,Facing,Tiles,Drawing Room,Dinning Room
Conco RegiNA,3000,3,3,2,1,1,5,6,180000,15000,2003,"Road: 60, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,GOVT,YES,SOUTH,YES,YES,YES
Conco Sanchayita,3100,3,3,3,1,1,3,6,170000,15000,2007,"Road: 63, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,GOVT,YES,NORTH,YES,YES,YES
Conco Gra President (503),3200,3,3,2,1,1,5,6,175000,10000,2000,"Road: 60, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,GOVT,YES,SOUTH,YES,YES,YES
Urban Light,2250,3,3,3,1,1,1,5,200000,15000,2015,"Road: 118, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,16,L.P.G,YES,EAST,YES,YES,YES
Delvia Erjaan 4B,2400,3,3,2,1,2,4,9,180000,12000,2016,"Road: 100, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,16,L.P.G,YES,NORTH,YES,YES,YES
Urban OcEASTn B7,2400,3,3,2,1,2,7,12,150000,8000,2015,"Road: 99, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,16,L.P.G,YES,NORTH,YES,YES,YES
Assurance Khushi 12C,2400,3,3,3,1,2,12,14,140000,10000,2015,"Road: 118, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,16,L.P.G,YES,NORTH,YES,YES,YES
ANZ Park Shore C6,2800,4,4,2,1,2,6,11,170000,14000,2015,"Road: 34, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,L.P.G,YES,SOUTH,YES,YES,YES
Shalizar Shamk B4,2250,3,3,2,1,1,4,8,160000,9000,2012,"Road: 86, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,L.P.G,YES,WEST,YES,YES,YES
Spring BEASTuty 3B,1700,3,3,2,1,1,3,6,120000,10000,2000,"Road: 75, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,GOVT,YES,NORTH,YES,YES,YES
Rancon Icon ToWESTr 11B,2100,3,3,2,1,2,11,13,220000,20000,2022,"Road: 126, Gulshan,Dhaka 1212","GYM, Swimming Pool, Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,L.P.G,YES,SOUTH,YES,YES,YES
Iramoti B3,2600,3,3,2,1,2,3,9,180000,10000,2023,"Road: 25, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,16,L.P.G,YES,NORTH,YES,YES,YES
Anwar Lamark BEG Park View C3,2400,3,3,2,1,2,3,13,250000,15000,2015,"Road: 84, Gulshan,Dhaka 1212","GYM, Swimming Pool, Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment / Luxury Apartment,Furnished,Residential,"""24 """,L.P.G,YES,EAST,YES,YES,YES
Assurance Cymbidium 12A,2450,3,3,3,1,2,12,14,160000,12000,2015,"Road: 139, Gulshan,Dhaka 1212","GYM, Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,L.P.G,YES,SOUTH,YES,YES,YES
Suvau Setara A3,2800,2,2,2,1,2,3,11,140000,15000,2009,"Road: 78, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,16,L.P.G,YES,WEST,YES,YES,YES
SOUTH Breeze Harmony B7,3500,4,4,2,1,2,7,10,160000,14000,2015,"Road: 135, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,16,L.P.G,YES,SOUTH,YES,YES,YES
Laila Bhaban 3A,2100,3,3,2,1,1,3,10,160000,10000,2021,"Road: 44, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,L.P.G,YES,NORTH,YES,YES,YES
EASTern Chitra,1500,2,2,1,1,1,3,6,85000,7000,2000,"Road: 25, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,16,GOVT,NA,EAST,YES,YES,YES
Spring BEASTuty,1700,3,3,3,1,1,2,6,150000,9000,2009,"Road: 74, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,Residential,"""24 """,GOVT,YES,NORTH,YES,YES,YES
