Post Title,Sq ft,Bedroom,Bathroom,Balcony,Parking,Lift,Rent Floor,Total Number of Floor,Price,Service Charge,Build Year,Area,Extra Aminities, Generator,Property Type,Interior,Building Regiration Type,Road In Front of House,Gas,Servant Room,Facing,Tiles,Drawing Room,Dinning Room
Suvau Setara A3,2800,2,2,2,1,2,3,11,140000,15000,2009,"Road: 78, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,16,L.P.G,	YES,WEST,YES,YES,YES
SOUTH Breeze Harmony B7,3500,4,4,2,1,2,7,10,160000,14000,2015,"Road: 135, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,16,L.P.G,	YES,SOUTH,YES,YES,YES
Laila Bhaban 3A,2100,3,3,2,1,1,3,10,160000,10000,2021,"Road: 44, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,"""24 """,L.P.G,	YES,NORTH,YES,YES,YES
EASTern Chitra,1500,2,2,1,1,1,3,6,85000,7000,2000,"Road: 25, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,16,GOVT,NA,EAST,YES,YES,YES
Spring BEASTuty,1700,3,3,3,1,1,2,6,150000,9000,2009,"Road: 74, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,"""24 """,GOVT,	YES,NORTH,YES,YES,YES
Assurance Saleha Gaen 9B,2400,3,3,2,1,2,9,11,90000,12000,2010,"Road: 14, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,16,L.P.G,	YES,SOUTH,YES,YES,YES
Assurance Saleha Gaen,2400,3,3,3,1,2,3,10,100000,12000,2010,"Road: 14, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,16,L.P.G,	YES,SOUTH,YES,YES,YES
Bay Brook Wood 8A,2450,3,4,3,1,2,8,11,170000,15000,2022,"Road: 135, Gulshan,Dhaka 1212","GYM, Swimming Pool, Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,16,L.P.G,	YES,SOUTH,YES,YES,YES
Daliya Recency,2200,3,3,2,1,1,3,6,160000,10000,2018,"Road: 35, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,16,L.P.G,	YES,SOUTH,YES,YES,YES
BTI e Classique,2700,3,3,2,1,1,1,8,110000,10000,2010,"Road: 95, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,"""24 """,GOVT,	YES,NORTH,YES,YES,YES
Asset Del Evasiya,2000,3,3,2,1,1,3,6,100000,7000,2005,"Road: 100, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,16,GOVT,	YES,SOUTH,YES,YES,YES
Conco Feroza De Palace A7,2400,3,3,3,1,2,7,11,160000,11000,2019,"Road: 135, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack,Swimming Pool, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,16,L.P.G,	YES,NORTH,YES,YES,YES
Iramoti 5B,2200,3,3,3,1,2,5,9,250000,0,2023,"Road: 31, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,16,L.P.G,	YES,NORTH,YES,YES,YES
Apurba,3000,4,4,3,1,1,1,5,160000,10000,2002,"Road: 105, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,"""24 """,GOVT,	YES,NORTH,YES,YES,YES
Anwar Lamark BEG Park View D1,2400,3,3,2,1,2,1,13,220000,12000,2018,"Road: 82, Gulshan,Dhaka 1212","GYM, Swimming Pool, Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,"""24 """,L.P.G,	YES,EAST,YES,YES,YES
Anwar Lamark BEG Park View A7,2450,3,3,3,2,3,7,14,190000,15000,2015,"Road: 82, Gulshan,Dhaka 1212","GYM, Swimming Pool, Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,"""24 """,L.P.G,	YES,WEST,YES,YES,YES
Delvia MoNAtaara A7,3700,4,4,3,2,2,7,11,250000,15000,2015,"Road: 103, Gulshan,Dhaka 1212","Bed, Bedside Table, Cabinets, udy Table , Chair, Almira, Sofa, Smart TV , TV Trolley, Dining Table , Chairs, Iron, Clo Dryer Hanger, Refrigerator, Microwave Oven, Washing Machine, Shoe Rack, Cookery Items.",NA,Furnished Apartment,Furnished,	Residential,16,L.P.G,	YES,SOUTH,YES,YES,YES
InNORTH Elements,3256,4,4,3,2,2,11,12,285000,25000,2025,"Road: 113, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Semi Furnished,Residential,30,L.P.G,YES,SOUTH,YES,YES,YES
Urban ShishirkoNA 13A,3000,4,4,3,2,2,13,14,170000,15000,2025,"Road: 117, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,Residential,30,L.P.G,YES,WEST,YES,YES,YES
Biborton,2200,3,3,3,1,2,2,9,120000,0,2025,"Road: 41, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,Residential,24,L.P.G,YES,EAST,YES,YES,YES
Anwar Lamark,2350,3,4,3,1,3,8,13,200000,15000,2010,"Road: 85, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Semi Furnished,Residential,"""24 """,GOVT,YES,EAST,YES,YES,YES
Asmit Mansion 3A,2800,3,3,2,2,2,3A,25,280000,42000,2022,"Road: 58, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,Residential,"""24 """,L.P.G,YES,NORTH,YES,YES,YES
Labaid Spring Rose,2950,3,3,3,2,2,9,11,170000,0,2025,"Road: 06, Gulshan,Dhaka 1212", Swimming Pool,NA,Residential Apartment,Un-Furnished,Residential,30,L.P.G,YES,NORTH,YES,YES,YES
Urban ShishirkoNA 10B,3000,4,4,2,2,2,10,13,190000,0,2024,"Road: 117, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,Residential,40,L.P.G,YES,EAST-WEST,YES,YES,YES
EASTern Seventynine,2600,3,4,2,2,1,1,6,110000,0,2004,"Road: 81, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,Residential,"""24 """,GOVT,YES,SOUTH,YES,YES,YES
Conco Feroza De Palace,2800,3,3,3,1,2,3,13,170000,12000,2020,"Road: 134, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,Residential,"""24 """,L.P.G,YES,SOUTH,YES,YES,YES
Conco SheNAoah,3440,4,4,3,1,2,4,9,200000,20000,2025,"Road: 04, Gulshan,Dhaka 1212"," GYM,Swimming Pool",NA,Residential Apartment,Un-Furnished,Residential,40,L.P.G,YES,WEST,YES,YES,YES
Gemcon Nilakash,4000,4,5,4,2,2,6,11,220000,20000,2025,"Road: 131, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,Residential,30,L.P.G,YES,SOUTH,YES,YES,YES
Bay Villa Laila,6500,3,5,3,3,2,9,10,"4,20,000",0,2017,"Road: 43, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,Residential,30,L.P.G,YES,NORTH,YES,YES,YES
Suvau ANAolok 2A,3200,3,4,3,2,2,2,13,180000,15000,2023,"Road: 116, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,Residential,30,L.P.G,YES,EAST,YES,YES,YES
SOUTH Breeze Serenity,3200,3,3,2,2,2,6,6,200000,20000,2022,"Road: 125, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,	Commercial,30,L.P.G,YES,SOUTH,YES,NA,NA
Urban ShishirkoNA 10A,3000,4,4,3,2,2,10,14,260000,15000,2025,"Road: 117, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,Residential,30,L.P.G,YES,EAST-WEST,YES,YES,YES
Bay's WESTlake,4500,4,5,4,2,2,8,9,450000,0,2020,"Road: 52, Gulshan,Dhaka 1212","GYM, Swimming Pool, AC.",NA,Residential Apartment,Semi Furnished,Residential,50,L.P.G,YES,WEST,YES,YES,YES
Asmit Mansion,4500,4,5,4,2,2,6,8,420000,60000,2020,"Road: 64, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Semi Furnished,Residential,50,L.P.G,YES,NORTH,YES,YES,YES
InNORTH Number 20 - 1A,4700,4,5,4,2,2,1,11,400000,45000,2020,"Road: 58, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Semi Furnished,Residential,90,L.P.G,YES,WEST,YES,YES,YES
Bra New Apartment 7A,3700,4,4,4,1,1,7,9,270000,20000,2025,"Road: 75, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,Residential,30,L.P.G,YES,SOUTH,YES,YES,YES
Shanta Maaya,2425,3,3,3,1,2,6,6,165000,20000,2025,"Road: 15, Gulshan,Dhaka 1212",NA,NA,Residential Apartment,Un-Furnished,Residential,35,L.P.G,YES,EAST-WEST,YES,YES,YES
Sejad Palace,5500,Open Space,Open Space,Open Space,2,2,"4 , 5",11,"7,15,000","55,000",2010,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,60,NA,NA,EAST-WEST,YES,NA,NA
"FiNAnce Square 17 , 18 Floor",3700,Open Space,Open Space,Open Space,2,2,"17 , 18",23,"9,25,000","74,000",2020,"Road: 105, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,30,NA,NA,SOUTH,NA,NA,NA
Suvau Muskan ToWESTr 8 Floor,3995,Open Space,Open Space,Open Space,1,3,8,23,"4,79,400","59,925",2024,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,50,NA,NA,EAST,YES,NA,NA
Commercial Cove,3500,Open Space,Open Space,Open Space,1,2,7,10,"3,85,000",0,2010,"Road: 124, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,30,NA,NA,WEST,YES,NA,NA
Suvau HeNA Skyline,7500,Open Space,Open Space,Open Space,3,7,25,38,"1,125,000",0,2025,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,60,NA,NA,EAST,YES,NA,NA
Suvau Rahman Galleria,3017,Open Space,Open Space,Open Space,1,2,5,11,"452,550",0,2023,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,50,NA,NA,EAST,YES,NA,NA
iividual House,10000,Open Space,Open Space,Open Space,6,NA,"0,2",3,900000,0,2010,"Road: 53A, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,24,L.P.G,NA,WEST,YES,NA,NA
Conco Silvy ToWESTr,6500,Open Space,Open Space,Open Space,2,2,8,13,1300000,0,2017,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,50,NA,NA,EAST,YES,NA,NA
AWR U ToWESTr,2200,Open Space,Open Space,Open Space,1,3,2,20,374000,"33,000",2024,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,SOUTH,YES,NA,NA
Alauddin ToWESTr,4000,Open Space,Open Space,Open Space,2,2,4,11,480000,"40,000",2010,"Road: 113, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,24,NA,NA,EAST,YES,NA,NA
Conco IK ToWESTr,5200,Open Space,Open Space,Open Space,2,3,0,13,1560000,"52,000",2018,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,50,NA,NA,SOUTH,YES,NA,NA
Silver ToWESTr,5800,Open Space,Open Space,Open Space,2,3,8,18,638000,"58,000",2018,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,NORTH,YES,NA,NA
Rangs Z Square,3700,Open Space,Open Space,Open Space,1,2,14,20,740000,"55,500",2024,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,50,NA,NA,EAST,NA,NA,NA
NAvaNA Trillium,3900,Open Space,Open Space,Open Space,2,2,9,15,585000,"58,500",2024,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,NORTH,YES,NA,NA
ANAbil ToWESTr,6692,Open Space,Open Space,Open Space,1,5,16,20,1204560,"133,840",2019,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,SOUTH,YES,NA,NA
Reliance ToWESTr,6500,Open Space,Open Space,Open Space,2,4,8,14,845000,"65,000",2024,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,SOUTH,YES,NA,NA
Conco Baksh ToWESTr,3800,Open Space,Open Space,Open Space,2,2,1,18,950000,"57,000",2023,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,NORTH,YES,NA,NA
Bay Delvia,9000,Open Space,Open Space,Open Space,5,2,7,9,1440000,"45,000",2012,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,NORTH,YES,NA,NA
MMK Akash Avenue 8 floor,3372,Open Space,Open Space,Open Space,1,2,8,18,539520,"50,580",2023,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,SOUTH,YES,NA,NA
Conco Richmo,7500,Open Space,Open Space,Open Space,3,2,7,9,825000,"75,000",2010,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,EAST,YES,NA,NA
CDL Molla Capital Centre,4400,Open Space,Open Space,Open Space,2,2,7,8,528000,"79,200",2012,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,EAST,YES,NA,NA
Uday ToWESTr,12000,Open Space,Open Space,Open Space,5,4,17,21,1560000,"120,000",2010,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,EAST,YES,NA,NA
Jolchobi ToWESTr,2914,Open Space,Open Space,Open Space,1,2,2,15,874200,"29,140",2016,"Road: Madani Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Furnished,Commercial,50,NA,NA,SOUTH,YES,NA,NA
Genetic Baro Bhuiyan,6400,Open Space,Open Space,Open Space,2,3,14,15,1280000,"64,000",2010,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,NORTH,YES,NA,NA
Rangs Z Square (9 floor),3700,Open Space,Open Space,Open Space,2,2,9,20,629000,"55,500",2024,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,WEST,YES,NA,NA
Taj Merriot,5800,Open Space,Open Space,Open Space,2,1,4,7,696000,"58,000",2009,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,50,NA,NA,	EAST,YES,NA,NA
EASTern OversEASTs -7 Floor,1000,Open Space,Open Space,Open Space,NA,2,7,11,140000,"10,000",2005,"Road: 113, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Furnished,Commercial,24,NA,NA,SOUTH,YES,NA,NA
Symphony ToWESTr 5A,3961,Open Space,Open Space,Open Space,2,3,5,8,396100,"39,610",2007,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,50,NA,YES,SOUTH,YES,NA,NA
Conco IK ToWESTr 3A,4888,Open Space,Open Space,Open Space,2,3,3,13,782080,"58,656",2010,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,50,NA,NA,NORTH,YES,NA,NA
Simpletree Attalika,8300,Open Space,Open Space,Open Space,3,4,13,21,1660000,"166,000",2023,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,50,NA,NA,NORTH,YES,NA,NA
Rangs Z Square (0 floor),1000,Open Space,Open Space,Open Space,NA,2,0,20,700000,"15,000",2024,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,50,NA,NA,EAST,NA,NA,NA
Jabbar ToWESTr,5700,Open Space,Open Space,Open Space,2,2,18,23,684000,"45,600",2006,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Furnished,Commercial,50,NA,NA,EAST,YES,NA,NA
Bay Galleria 5A,5000,Open Space,Open Space,Open Space,2,2,5,9,1000000,"90,000",2008,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,50,NA,NA,EAST,YES,NA,NA
BTI Lamark 5A,3413,Open Space,Open Space,Open Space,2,5,5,13,648470,"68,260",2019,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,"""50 """,NA,NA,WEST,YES,NA,NA
EASTern OversEASTs,1000,Open Space,Open Space,Open Space,1,2,7,11,150000,"8,000",2015,"Road: 113, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Furnished,Commercial,24,NA,NA,SOUTH,YES,NA,NA
NAfi ToWESTr,6000,Open Space,Open Space,Open Space,2,3,16,20,840000,"60,000",2008,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Furnished,Commercial,"""50 """,NA,NA,EAST,YES,NA,NA
Amin Mohammad Green Meher ToWESTr,5200,Open Space,Open Space,Open Space,2,2,10,13,858000,"78,000",2023,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,"""50 """,NA,NA,WEST,YES,NA,NA
Suvau Muskan ToWESTr 13A,4000,Open Space,Open Space,Open Space,1,3,13,22,560000,"60,000",2023,"Road: Gulshan Avenue, Gulshan,Dhaka 1212,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,"""50 """,NA,NA,EAST,YES,NA,NA
Priine Pavilion 13A,6995,Open Space,Open Space,Open Space,3,4,13,16,1189150,"125,910",2019,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,"""50 """,NA,NA,WEST,YES,NA,NA
Rashid ToWESTr,6120,Open Space,Open Space,Open Space,1,2,11,17,734400,"61,200",2001,"Road: 21, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,"""50 """,NA,NA,NORTH,YES,NA,NA
Johora Assure Square,3955,Open Space,Open Space,Open Space,1,1,2,13,791000,"39,550",2012,"Road: 21, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,"""50 """,NA,NA,NORTH,YES,NA,NA
Ventura Avenue 4A,4000,Open Space,Open Space,Open Space,2,2,4,8,600000,"72,000",2010,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,60,NA,NA,EAST,YES,NA,NA
FiNAnce Square 18A,3950,Open Space,Open Space,Open Space,2,2,18,20,987500,"98,750",2017,"Road: 103, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,Un-Furnished,Commercial,30,NA,NA,SOUTH,YES,NA,NA
Priine Pavilion 5A,2850,Open Space,Open Space,Open Space,2,4,5,16,470250,"51,300",2022,"Road: Gulshan Avenue, Gulshan,Dhaka 1212","""24 Hours CCTV Coverage, Automatic Fire alarm Syem""",YES,Office Space,"Un-Furnished, Open floor",Commercial,"""50 """,NA,NA,EAST,YES,NA,NA
InNORTH Trinity 2A,4758,4,5,3,2,2,2,9,550000,42000,2024,"Road: 65, Gulshan,Dhaka 1212","GYM, Swimming Pool, AC, 24 Hours Security Service.",NA,Luxury Apartment,Semi-Furnished,Residential,30,L.P.G,YES,NORTH,YES,YES,YES
Lamark Jamila Khatun,4100,4,4,3,2,2,3,6,350000,20000,2012,"Road: 56, Gulshan,Dhaka 1212","GYM, Swimming Pool, AC, 24 Hours Security Service.",NA,Luxury Apartment,Semi-Furnished,Residential,24,GOVT,YES,SOUTH,YES,YES,YES
"RahaNA , Juliya A4",4100,4,5,3,2,2,4,11,300000,20000,2024,"Road: 23, Gulshan,Dhaka 1212",GYM,NA,Luxury Apartment,Semi-Furnished,Residential,24,L.P.G,YES,NORTH,YES,YES,YES
SOUTH Breeze Autograph,4385,4,4,3,2,3,14,8,500000,0,2025,"Road: 60, Gulshan,Dhaka 1212","GYM, Swimming Pool, AC, 24 Hours Security Service.",NA,Luxury Apartment,Un-Furnished,Residential,24,L.P.G,YES,SOUTH,YES,YES,YES
Conco Songsaptak,5474,4,5,3,2,2,4,10,420000,0,2025,"Road: 67, Gulshan,Dhaka 1212","GYM, Swimming Pool",NA,Luxury Apartment,Un-Furnished,Residential,"""24 """,L.P.G,YES,SOUTH,YES,YES,YES
Dhansiri 6B,3400,4,4,3,2,2,6,11,300000,22000,2021,"Road: 90, Gulshan,Dhaka 1212","GYM, Swimming Pool, 24 Hours Security Service.",NA,Luxury Apartment,Semi-Furnished,Residential,"""24 """,L.P.G,YES,SOUTH,YES,YES,YES
InNORTH Zen,3300,4,4,3,2,2,"2, 5, 7, 9",10,250000,0,2025,"Road: 113, Gulshan,Dhaka 1212","GYM, Swimming Pool, AC, 24 Hours Security Service.",NA,Luxury Apartment,Semi-Furnished,Residential,"""24 """,L.P.G,YES,WEST,YES,YES,YES
